sentence,compound,positive,negative,neutral,label,title
"When I asked him if he knew Count Dracula, and could tell me anything of his castle, both he and his wife crossed themselves, and, saying that they knew nothing at all, simply refused to speak further.",-0.296,0.0,0.059,0.941,negative,Dracula
"It was so near the time of starting that I had no time to ask any one else, for it was all very mysterious and not by any means comforting.",0.128,0.085,0.069,0.846,positive,Dracula
"Just before I was leaving, the old lady came up to my room and said in a very hysterical way: ""Must you go?",-0.101,0.0,0.065,0.935,negative,Dracula
Oh!,0.0,0.0,0.0,1.0,neutral,Dracula
"young Herr, must you go?""",0.0,0.0,0.0,1.0,neutral,Dracula
"She was in such an excited state that she seemed to have lost her grip of what German she knew, and mixed it all up with some other language which I did not know at all.",0.0258,0.064,0.061,0.875,neutral,Dracula
I was just able to follow her by asking many questions.,0.0,0.0,0.0,1.0,neutral,Dracula
"When I told her that I must go at once, and that I was engaged on important business, she asked again: ""Do you know what day it is?""",0.5423,0.164,0.0,0.836,positive,Dracula
I answered that it was the fourth of May.,0.0,0.0,0.0,1.0,neutral,Dracula
"She shook her head as she said again: ""Oh, yes!",0.3802,0.241,0.113,0.646,positive,Dracula
I know that!,0.0,0.0,0.0,1.0,neutral,Dracula
"I know that, but do you know what day it is?""",0.0,0.0,0.0,1.0,neutral,Dracula
"On my saying that I did not understand, she went on: ""It is the eve of St. George's Day.",0.0,0.0,0.0,1.0,neutral,Dracula
"Do you not know that to-night, when the clock strikes midnight, all the evil things in the world will have full sway?",-0.7845,0.0,0.257,0.743,negative,Dracula
"Do you know where you are going, and what you are going to?""",0.0,0.0,0.0,1.0,neutral,Dracula
"She was in such evident distress that I tried to comfort her, but without effect.",-0.1154,0.11,0.138,0.752,negative,Dracula
Finally she went down on her knees and implored me not to go; at least to wait a day or two before starting.,0.0,0.0,0.0,1.0,neutral,Dracula
It was all very ridiculous but I did not feel comfortable.,-0.6651,0.0,0.405,0.595,negative,Dracula
"However, there was business to be done, and I could allow nothing to interfere with it.",0.2263,0.119,0.0,0.881,positive,Dracula
"I therefore tried to raise her up, and said, as gravely as I could, that I thanked her, but my duty was imperative, and that I must go.",0.0516,0.076,0.068,0.856,positive,Dracula
"She then rose and dried her eyes, and taking a crucifix from her neck offered it to me.",0.0,0.0,0.0,1.0,neutral,Dracula
"I did not know what to do, for, as an English Churchman, I have been taught to regard such things as in some measure idolatrous, and yet it seemed so ungracious to refuse an old lady meaning so well and in such a state of mind.",0.0715,0.059,0.053,0.887,positive,Dracula
"She saw, I suppose, the doubt in my face, for she put the rosary round my neck, and said, ""For your mother's sake,"" and went out of the room.",-0.3612,0.0,0.085,0.915,negative,Dracula
"I am writing up this part of the diary whilst I am waiting for the coach, which is, of course, late; and the crucifix is still round my neck.",0.0,0.0,0.0,1.0,neutral,Dracula
"Whether it is the old lady's fear, or the many ghostly traditions of this place, or the crucifix itself, I do not know, but I am not feeling nearly as easy in my mind as usual.",0.2948,0.1,0.095,0.805,positive,Dracula
"If this book should ever reach Mina before I do, let it bring my good-bye.",0.0258,0.078,0.0,0.922,neutral,Dracula
Here comes the coach!,0.0,0.0,0.0,1.0,neutral,Dracula
5 May.,0.0,0.0,0.0,1.0,neutral,Dracula
The Castle.,0.0,0.0,0.0,1.0,neutral,Dracula
"--The grey of the morning has passed, and the sun is high over the distant horizon, which seems jagged, whether with trees or hills I know not, for it is so far off that big things and little are mixed.",0.0516,0.031,0.0,0.969,positive,Dracula
"I am not sleepy, and, as I am not to be called till I awake, naturally I write till sleep comes.",0.0,0.0,0.0,1.0,neutral,Dracula
"There are many odd things to put down, and, lest who reads them may fancy that I dined too well before I left Bistritz, let me put down my dinner exactly.",-0.0516,0.067,0.073,0.86,negative,Dracula
"I dined on what they called ""robber steak""--bits of bacon, onion, and beef, seasoned with red pepper, and strung on sticks and roasted over the fire, in the simple style of the London cat's meat!",-0.7424,0.0,0.164,0.836,negative,Dracula
"The wine was Golden Mediasch, which produces a queer sting on the tongue, which is, however, not disagreeable.",0.3089,0.124,0.0,0.876,positive,Dracula
"I had only a couple of glasses of this, and nothing else.",0.0,0.0,0.0,1.0,neutral,Dracula
"When I got on the coach the driver had not taken his seat, and I saw him talking with the landlady.",0.0,0.0,0.0,1.0,neutral,Dracula
"They were evidently talking of me, for every now and then they looked at me, and some of the people who were sitting on the bench outside the door--which they call by a name meaning ""word-bearer""--came and listened, and then looked at me, most of them pityingly.",-0.3102,0.0,0.048,0.952,negative,Dracula
"I could hear a lot of words often repeated, queer words, for there were many nationalities in the crowd; so I quietly got my polyglot dictionary from my bag and looked them out.",0.0,0.0,0.0,1.0,neutral,Dracula
"I must say they were not cheering to me, for amongst them were ""Ordog""--Satan, ""pokol""--hell, ""stregoica""--witch, ""vrolok"" and ""vlkoslak""--both of which mean the same thing, one being Slovak and the other Servian for something that is either were-wolf or vampire.",-0.4023,0.0,0.066,0.934,negative,Dracula
( Mem.,0.0,0.0,0.0,1.0,neutral,Dracula
", I must ask the Count about these superstitions) When we started, the crowd round the inn door, which had by this time swelled to a considerable size, all made the sign of the cross and pointed two fingers towards me.",0.0,0.0,0.0,1.0,neutral,Dracula
"With some difficulty I got a fellow-passenger to tell me what they meant; he would not answer at first, but on learning that I was English, he explained that it was a charm or guard against the evil eye.",-0.6428,0.082,0.18,0.738,negative,Dracula
"This was not very pleasant for me, just starting for an unknown place to meet an unknown man; but every one seemed so kind-hearted, and so sorrowful, and so sympathetic that I could not but be touched.",-0.4106,0.107,0.168,0.725,negative,Dracula
"I shall never forget the last glimpse which I had of the inn-yard and its crowd of picturesque figures, all crossing themselves, as they stood round the wide archway, with its background of rich foliage of oleander and orange trees in green tubs clustered in the centre of the yard.",0.7824,0.149,0.0,0.851,positive,Dracula
"Then our driver, whose wide linen drawers covered the whole front of the box-seat--""gotza"" they call them--cracked his big whip over his four small horses, which ran abreast, and we set off on our journey.",0.0,0.0,0.0,1.0,neutral,Dracula
"I soon lost sight and recollection of ghostly fears in the beauty of the scene as we drove along, although had I known the language, or rather languages, which my fellow-passengers were speaking, I might not have been able to throw them off so easily.",0.4246,0.138,0.102,0.76,positive,Dracula
"Before us lay a green sloping land full of forests and woods, with here and there steep hills, crowned with clumps of trees or with farmhouses, the blank gable end to the road.",0.0,0.0,0.0,1.0,neutral,Dracula
"There was everywhere a bewildering mass of fruit blossom--apple, plum, pear, cherry; and as we drove by I could see the green grass under the trees spangled with the fallen petals.",-0.3612,0.0,0.082,0.918,negative,Dracula
"In and out amongst these green hills of what they call here the ""Mittel Land"" ran the road, losing itself as it swept round the grassy curve, or was shut out by the straggling ends of pine woods, which here and there ran down the hillsides like tongues of flame.",-0.0258,0.047,0.049,0.904,neutral,Dracula
"The road was rugged, but still we seemed to fly over it with a feverish haste.",0.0,0.0,0.0,1.0,neutral,Dracula
"I could not understand then what the haste meant, but the driver was evidently bent on losing no time in reaching Borgo Prund.",-0.6124,0.08,0.226,0.693,negative,Dracula
"I was told that this road is in summertime excellent, but that it had not yet been put in order after the winter snows.",0.3291,0.097,0.0,0.903,positive,Dracula
"In this respect it is different from the general run of roads in the Carpathians, for it is an old tradition that they are not to be kept in too good order.",0.7184,0.167,0.0,0.833,positive,Dracula
"Of old the Hospadars would not repair them, lest the Turk should think that they were preparing to bring in foreign troops, and so hasten the war which was always really at loading point.",-0.6326,0.0,0.112,0.888,negative,Dracula
Beyond the green swelling hills of the Mittel Land rose mighty slopes of forest up to the lofty steeps of the Carpathians themselves.,0.0,0.0,0.0,1.0,neutral,Dracula
"Right and left of us they towered, with the afternoon sun falling full upon them and bringing out all the glorious colours of this beautiful range, deep blue and purple in the shadows of the peaks, green and brown where grass and rock mingled, and an endless perspective of jagged rock and pointed crags, till these were themselves lost in the distance, where the snowy peaks rose grandly.",0.7861,0.115,0.051,0.834,positive,Dracula
"Here and there seemed mighty rifts in the mountains, through which, as the sun began to sink, we saw now and again the white gleam of falling water.",-0.1531,0.0,0.056,0.944,negative,Dracula
