sentence,compound,positive,negative,neutral,label,title
"Chicot was disappointed and pressed her to eat more, but she refused, and she would drink little, and declined coffee, so he asked her: ""But surely you will take a little drop of brandy or liqueur?""",-0.3831,0.091,0.176,0.733,negative,Original Short Stories — Volume 13
"""Well, as to that, I don't know that I will refuse.""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"Whereupon he shouted out: ""Rosalie, bring the superfine brandy--the special--you know.""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"The servant appeared, carrying a long bottle ornamented with a paper vine-leaf, and he filled two liqueur glasses.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"""Just try that; you will find it first rate.""",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"The good woman drank it slowly in sips, so as to make the pleasure last all the longer, and when she had finished her glass, she said: ""Yes, that is first rate!""",0.784,0.187,0.0,0.813,positive,Original Short Stories — Volume 13
Almost before she had said it Chicot had poured her out another glassful.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"She wished to refuse, but it was too late, and she drank it very slowly, as she had done the first, and he asked her to have a third.",-0.1531,0.0,0.056,0.944,negative,Original Short Stories — Volume 13
"She objected, but he persisted.",0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"""It is as mild as milk, you know; I can drink ten or a dozen glasses without any ill effects; it goes down like sugar and does not go to the head; one would think that it evaporated on the tongue: It is the most wholesome thing you can drink.""",0.5903,0.095,0.0,0.905,positive,Original Short Stories — Volume 13
"She took it, for she really enjoyed it, but she left half the glass.",0.3174,0.15,0.0,0.85,positive,Original Short Stories — Volume 13
"Then Chicot, in an excess of generosity, said: ""Look here, as it is so much to your taste, I will give you a small keg of it, just to show that you and I are still excellent friends.""",0.7906,0.175,0.0,0.825,positive,Original Short Stories — Volume 13
"So she took one away with her, feeling slightly overcome by the effects of what she had drunk.",-0.2263,0.075,0.121,0.804,negative,Original Short Stories — Volume 13
The next day the innkeeper drove into her yard and took a little iron-hooped keg out of his gig.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
"He insisted on her tasting the contents, to make sure it was the same delicious article, and, when they had each of them drunk three more glasses, he said as he was going away: ""Well, you know when it is all gone there is more left; don't be modest, for I shall not mind.",0.5574,0.103,0.041,0.856,positive,Original Short Stories — Volume 13
"The sooner it is finished the better pleased I shall be.""",0.7003,0.42,0.0,0.58,positive,Original Short Stories — Volume 13
Four days later he came again.,0.0,0.0,0.0,1.0,neutral,Original Short Stories — Volume 13
