sentence,compound,positive,negative,neutral,label,title
"He is only about five feet high, but even so these trousers are about eight inches short of the ground.",0.0,0.0,0.0,1.0,neutral,The Jungle
"You wonder where he can have gotten them or rather you would wonder, if the excitement of being in his presence left you time to think of such things.",0.4939,0.103,0.0,0.897,positive,The Jungle
For he is an inspired man.,0.4939,0.39,0.0,0.61,positive,The Jungle
Every inch of him is inspired--you might almost say inspired separately.,0.4445,0.226,0.0,0.774,positive,The Jungle
"He stamps with his feet, he tosses his head, he sways and swings to and fro; he has a wizened-up little face, irresistibly comical; and, when he executes a turn or a flourish, his brows knit and his lips work and his eyelids wink--the very ends of his necktie bristle out.",0.0,0.0,0.0,1.0,neutral,The Jungle
"And every now and then he turns upon his companions, nodding, signaling, beckoning frantically--with every inch of him appealing, imploring, in behalf of the muses and their call.",0.0,0.0,0.0,1.0,neutral,The Jungle
"For they are hardly worthy of Tamoszius, the other two members of the orchestra.",0.3832,0.167,0.0,0.833,positive,The Jungle
"The second violin is a Slovak, a tall, gaunt man with black-rimmed spectacles and the mute and patient look of an overdriven mule; he responds to the whip but feebly, and then always falls back into his old rut.",0.0,0.0,0.0,1.0,neutral,The Jungle
"The third man is very fat, with a round, red, sentimental nose, and he plays with his eyes turned up to the sky and a look of infinite yearning.",0.5859,0.195,0.0,0.805,positive,The Jungle
"He is playing a bass part upon his cello, and so the excitement is nothing to him; no matter what happens in the treble, it is his task to saw out one long-drawn and lugubrious note after another, from four o'clock in the afternoon until nearly the same hour next morning, for his third of the total income of one dollar per hour.",0.4882,0.121,0.045,0.834,positive,The Jungle
"Before the feast has been five minutes under way, Tamoszius Kuszleika has risen in his excitement; a minute or two more and you see that he is beginning to edge over toward the tables.",0.4939,0.091,0.0,0.909,positive,The Jungle
His nostrils are dilated and his breath comes fast--his demons are driving him.,0.0,0.0,0.0,1.0,neutral,The Jungle
"He nods and shakes his head at his companions, jerking at them with his violin, until at last the long form of the second violinist also rises up.",0.0,0.0,0.0,1.0,neutral,The Jungle
"In the end all three of them begin advancing, step by step, upon the banqueters, Valentinavyczia, the cellist, bumping along with his instrument between notes.",0.0,0.0,0.0,1.0,neutral,The Jungle
"Finally all three are gathered at the foot of the tables, and there Tamoszius mounts upon a stool.",0.0,0.0,0.0,1.0,neutral,The Jungle
"Now he is in his glory, dominating the scene.",0.3182,0.276,0.173,0.551,positive,The Jungle
"Some of the people are eating, some are laughing and talking--but you will make a great mistake if you think there is one of them who does not hear him.",0.7096,0.204,0.067,0.728,positive,The Jungle
"His notes are never true, and his fiddle buzzes on the low ones and squeaks and scratches on the high; but these things they heed no more than they heed the dirt and noise and squalor about them--it is out of this material that they have to build their lives, with it that they have to utter their souls.",-0.7973,0.0,0.142,0.858,negative,The Jungle
"And this is their utterance; merry and boisterous, or mournful and wailing, or passionate and rebellious, this music is their music, music of home.",0.4767,0.218,0.151,0.631,positive,The Jungle
"It stretches out its arms to them, they have only to give themselves up.",0.0,0.0,0.0,1.0,neutral,The Jungle
"Chicago and its saloons and its slums fade away--there are green meadows and sunlit rivers, mighty forests and snow-clad hills.",0.0,0.0,0.0,1.0,neutral,The Jungle
"They behold home landscapes and childhood scenes returning; old loves and friendships begin to waken, old joys and griefs to laugh and weep.",0.8555,0.376,0.106,0.517,positive,The Jungle
"Some fall back and close their eyes, some beat upon the table.",0.0,0.0,0.0,1.0,neutral,The Jungle
"Now and then one leaps up with a cry and calls for this song or that; and then the fire leaps brighter in Tamoszius' eyes, and he flings up his fiddle and shouts to his companions, and away they go in mad career.",-0.7269,0.053,0.176,0.771,negative,The Jungle
"The company takes up the choruses, and men and women cry out like all possessed; some leap to their feet and stamp upon the floor, lifting their glasses and pledging each other.",-0.1531,0.07,0.087,0.843,negative,The Jungle
"Before long it occurs to some one to demand an old wedding song, which celebrates the beauty of the bride and the joys of love.",0.9371,0.409,0.041,0.549,positive,The Jungle
"In the excitement of this masterpiece Tamoszius Kuszleika begins to edge in between the tables, making his way toward the head, where sits the bride.",0.8074,0.241,0.0,0.759,positive,The Jungle
"There is not a foot of space between the chairs of the guests, and Tamoszius is so short that he pokes them with his bow whenever he reaches over for the low notes; but still he presses in, and insists relentlessly that his companions must follow.",-0.1154,0.024,0.034,0.942,negative,The Jungle
"During their progress, needless to say, the sounds of the cello are pretty well extinguished; but at last the three are at the head, and Tamoszius takes his station at the right hand of the bride and begins to pour out his soul in melting strains.",0.7227,0.184,0.052,0.764,positive,The Jungle
Little Ona is too excited to eat.,0.34,0.286,0.0,0.714,positive,The Jungle
"Once in a while she tastes a little something, when Cousin Marija pinches her elbow and reminds her; but, for the most part, she sits gazing with the same fearful eyes of wonder.",-0.6486,0.0,0.125,0.875,negative,The Jungle
"Teta Elzbieta is all in a flutter, like a hummingbird; her sisters, too, keep running up behind her, whispering, breathless.",0.3612,0.128,0.0,0.872,positive,The Jungle
"But Ona seems scarcely to hear them--the music keeps calling, and the far-off look comes back, and she sits with her hands pressed together over her heart.",0.0,0.0,0.0,1.0,neutral,The Jungle
"Then the tears begin to come into her eyes; and as she is ashamed to wipe them away, and ashamed to let them run down her cheeks, she turns and shakes her head a little, and then flushes red when she sees that Jurgis is watching her.",-0.7964,0.0,0.159,0.841,negative,The Jungle
"When in the end Tamoszius Kuszleika has reached her side, and is waving his magic wand above her, Ona's cheeks are scarlet, and she looks as if she would have to get up and run away.",0.1027,0.038,0.0,0.962,positive,The Jungle
"In this crisis, however, she is saved by Marija Berczynskas, whom the muses suddenly visit.",-0.3182,0.141,0.206,0.653,negative,The Jungle
"Marija is fond of a song, a song of lovers' parting; she wishes to hear it, and, as the musicians do not know it, she has risen, and is proceeding to teach them.",0.7845,0.22,0.0,0.78,positive,The Jungle
"Marija is short, but powerful in build.",0.5719,0.381,0.0,0.619,positive,The Jungle
"She works in a canning factory, and all day long she handles cans of beef that weigh fourteen pounds.",0.0,0.0,0.0,1.0,neutral,The Jungle
"She has a broad Slavic face, with prominent red cheeks.",0.3182,0.223,0.0,0.777,positive,The Jungle
"When she opens her mouth, it is tragical, but you cannot help thinking of a horse.",-0.6233,0.0,0.281,0.719,negative,The Jungle
"She wears a blue flannel shirt-waist, which is now rolled up at the sleeves, disclosing her brawny arms; she has a carving fork in her hand, with which she pounds on the table to mark the time.",0.4939,0.086,0.0,0.914,positive,The Jungle
"As she roars her song, in a voice of which it is enough to say that it leaves no portion of the room vacant, the three musicians follow her, laboriously and note by note, but averaging one note behind; thus they toil through stanza after stanza of a lovesick swain's lamentation:-- ""Sudiev' kvietkeli, tu brangiausis; Sudiev' ir laime, man biednam, Matau--paskyre teip Aukszcziausis, Jog vargt ant svieto reik vienam!""",-0.2244,0.0,0.028,0.972,negative,The Jungle
"When the song is over, it is time for the speech, and old Dede Antanas rises to his feet.",0.0,0.0,0.0,1.0,neutral,The Jungle
"Grandfather Anthony, Jurgis' father, is not more than sixty years of age, but you would think that he was eighty.",0.0,0.0,0.0,1.0,neutral,The Jungle
"He has been only six months in America, and the change has not done him good.",-0.3412,0.0,0.138,0.862,negative,The Jungle
"In his manhood he worked in a cotton mill, but then a coughing fell upon him, and he had to leave; out in the country the trouble disappeared, but he has been working in the pickle rooms at Durham's, and the breathing of the cold, damp air all day has brought it back.",-0.7351,0.0,0.13,0.87,negative,The Jungle
"Now as he rises he is seized with a coughing fit, and holds himself by his chair and turns away his wan and battered face until it passes.",0.3612,0.088,0.0,0.912,positive,The Jungle
"Generally it is the custom for the speech at a veselija to be taken out of one of the books and learned by heart; but in his youthful days Dede Antanas used to be a scholar, and really make up all the love letters of his friends.",0.9313,0.235,0.0,0.765,positive,The Jungle
"Now it is understood that he has composed an original speech of congratulation and benediction, and this is one of the events of the day.",0.7351,0.212,0.0,0.788,positive,The Jungle
"Even the boys, who are romping about the room, draw near and listen, and some of the women sob and wipe their aprons in their eyes.",-0.25,0.0,0.074,0.926,negative,The Jungle
"It is very solemn, for Antanas Rudkus has become possessed of the idea that he has not much longer to stay with his children.",-0.1513,0.0,0.065,0.935,negative,The Jungle
"His speech leaves them all so tearful that one of the guests, Jokubas Szedvilas, who keeps a delicatessen store on Halsted Street, and is fat and hearty, is moved to rise and say that things may not be as bad as that, and then to go on and make a little speech of his own, in which he showers congratulations and prophecies of happiness upon the bride and groom, proceeding to particulars which greatly delight the young men, but which cause Ona to blush more furiously than ever.",0.4909,0.111,0.045,0.844,positive,The Jungle
"Jokubas possesses what his wife complacently describes as ""poetiszka vaidintuve""--a poetical imagination.",0.0,0.0,0.0,1.0,neutral,The Jungle
"Now a good many of the guests have finished, and, since there is no pretense of ceremony, the banquet begins to break up.",0.1779,0.116,0.088,0.797,positive,The Jungle
"Some of the men gather about the bar; some wander about, laughing and singing; here and there will be a little group, chanting merrily, and in sublime indifference to the others and to the orchestra as well.",0.804,0.203,0.029,0.769,positive,The Jungle
Everybody is more or less restless--one would guess that something is on their minds.,0.0,0.0,0.0,1.0,neutral,The Jungle
And so it proves.,0.0,0.0,0.0,1.0,neutral,The Jungle
"The last tardy diners are scarcely given time to finish, before the tables and the debris are shoved into the corner, and the chairs and the babies piled out of the way, and the real celebration of the evening begins.",0.0,0.0,0.0,1.0,neutral,The Jungle
"Then Tamoszius Kuszleika, after replenishing himself with a pot of beer, returns to his platform, and, standing up, reviews the scene; he taps authoritatively upon the side of his violin, then tucks it carefully under his chin, then waves his bow in an elaborate flourish, and finally smites the sounding strings and closes his eyes, and floats away in spirit upon the wings of a dreamy waltz.",0.296,0.048,0.0,0.952,positive,The Jungle
"His companion follows, but with his eyes open, watching where he treads, so to speak; and finally Valentinavyczia, after waiting for a little and beating with his foot to get the time, casts up his eyes to the ceiling and begins to saw--""Broom!",-0.596,0.0,0.086,0.914,negative,The Jungle
broom!,0.0,0.0,0.0,1.0,neutral,The Jungle
"broom!""",0.0,0.0,0.0,1.0,neutral,The Jungle
"The company pairs off quickly, and the whole room is soon in motion.",0.0,0.0,0.0,1.0,neutral,The Jungle
"Apparently nobody knows how to waltz, but that is nothing of any consequence--there is music, and they dance, each as he pleases, just as before they sang.",0.5499,0.12,0.0,0.88,positive,The Jungle
"Most of them prefer the ""two-step,"" especially the young, with whom it is the fashion.",0.0,0.0,0.0,1.0,neutral,The Jungle
"The older people have dances from home, strange and complicated steps which they execute with grave solemnity.",-0.6705,0.0,0.317,0.683,negative,The Jungle
"Some do not dance anything at all, but simply hold each other's hands and allow the undisciplined joy of motion to express itself with their feet.",0.8201,0.239,0.0,0.761,positive,The Jungle
"Among these are Jokubas Szedvilas and his wife, Lucija, who together keep the delicatessen store, and consume nearly as much as they sell; they are too fat to dance, but they stand in the middle of the floor, holding each other fast in their arms, rocking slowly from side to side and grinning seraphically, a picture of toothless and perspiring ecstasy.",0.7717,0.142,0.045,0.813,positive,The Jungle
"Of these older people many wear clothing reminiscent in some detail of home--an embroidered waistcoat or stomacher, or a gaily colored handkerchief, or a coat with large cuffs and fancy buttons.",0.0,0.0,0.0,1.0,neutral,The Jungle
