sentence,compound,positive,negative,neutral,label,title
XXXVIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
SCHOLARS.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XXXIX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
POETS.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XL.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
GREAT EVENTS.,0.6249,0.804,0.0,0.196,positive,Thus Spake Zarathustra: A Book for All and None
XLI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE SOOTHSAYER.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XLII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
REDEMPTION.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XLIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
MANLY PRUDENCE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XLIV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE STILLEST HOUR.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THIRD PART.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XLV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE WANDERER.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XLVI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE VISION AND THE ENIGMA.,0.25,0.333,0.0,0.667,positive,Thus Spake Zarathustra: A Book for All and None
XLVII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
INVOLUNTARY BLISS.,0.5719,0.787,0.0,0.213,positive,Thus Spake Zarathustra: A Book for All and None
XLVIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
BEFORE SUNRISE.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
XLIX.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE BEDWARFING VIRTUE.,0.4215,0.583,0.0,0.417,positive,Thus Spake Zarathustra: A Book for All and None
L. ON THE OLIVE-MOUNT.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LI.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
ON PASSING-BY.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE APOSTATES.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LIII.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE RETURN HOME.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
LIV.,0.0,0.0,0.0,1.0,neutral,Thus Spake Zarathustra: A Book for All and None
THE THREE EVIL THINGS.,-0.6597,0.0,0.595,0.405,negative,Thus Spake Zarathustra: A Book for All and None
