title,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
"Library of the World's Best Literature, Ancient and Modern — Volume 11",9.279108e-07,0.00065622,0.003055945,0.022298181,0.064277366,1.137846e-06,1.6022492e-06,0.080195546,0.76456505,0.022683334,0.0020571842,1.0832562e-06,9.1849546e-07,0.016223893,0.003299433,8.5768926e-07,0.012575159,0.00014211255,7.9085044e-07,0.007963291
A Room with a View,2.7710378e-06,2.8181994e-06,0.0033948342,5.0530393e-06,0.6195075,3.397971e-06,0.0037328445,7.87402e-06,0.21251188,0.15878998,6.346921e-06,0.001711733,2.7429205e-06,5.19131e-06,3.959949e-06,2.5613338e-06,3.2553396e-06,4.02395e-06,2.3617317e-06,0.0002989267
"The Will to Believe, and Other Essays in Popular Philosophy",1.4865178e-06,1.5118176e-06,2.3695136e-06,2.710693e-06,3.3712524e-06,0.002501417,2.5668114e-06,0.0012642177,0.9931326,6.6262064e-06,3.4047937e-06,1.7353819e-06,1.4714344e-06,2.784867e-06,0.003062876,1.3740225e-06,1.7463207e-06,2.1586402e-06,1.2669464e-06,2.314337e-06
Dubliners,2.4304559e-06,2.471821e-06,0.17276634,0.032975227,0.028387241,2.9803343e-06,0.017285652,6.9062426e-06,0.023427987,0.70885885,0.0090366695,0.007222286,2.4057945e-06,4.5532565e-06,3.473241e-06,2.2465263e-06,2.8552336e-06,3.5293758e-06,2.0714567e-06,3.7839402e-06
The House of Mirth,1.3404759e-06,1.3632902e-06,2.1367223e-06,2.444383e-06,3.040046e-06,1.6437518e-06,0.80288374,3.8090184e-06,0.18837667,0.008705389,3.070292e-06,1.5648905e-06,1.3268743e-06,2.5112697e-06,1.915606e-06,1.2390326e-06,1.5747546e-06,1.946566e-06,1.1424761e-06,2.0869666e-06
The Hound of the Baskervilles,3.7808989e-06,3.8452476e-06,6.026763e-06,6.8945396e-06,8.574646e-06,4.636308e-06,6.5285826e-06,0.010630337,0.038941577,0.94552624,8.659957e-06,0.0031945559,3.7425345e-06,7.083198e-06,5.40309e-06,3.4947716e-06,4.441697e-06,0.0016250976,3.2224275e-06,5.8864243e-06
The Wind in the Willows,2.840923e-06,2.889274e-06,4.5284387e-06,5.180476e-06,6.442888e-06,3.4836673e-06,4.9055e-06,8.072601e-06,1.4250267e-05,1.2663452e-05,6.5069894e-06,3.3165336e-06,0.99989855,5.322232e-06,4.0598184e-06,2.6259302e-06,3.337439e-06,4.1254334e-06,2.4212943e-06,4.42299e-06
Howards End,1.8409077e-06,1.872239e-06,0.0014645801,3.3569295e-06,4.174968e-06,2.2574038e-06,3.178746e-06,8.3259205e-05,0.2362178,0.19506621,0.025407052,0.010291483,1.8222283e-06,3.4487869e-06,0.0009960684,1.7015932e-06,2.1626481e-06,0.53044325,1.5689898e-06,2.8660813e-06
"Harper's Young People, June 15, 1880 / An Illustrated Weekly",1.0096178e-05,1.026801e-05,0.06250044,0.019904729,0.11894015,1.23803875e-05,1.7433349e-05,0.18906958,0.02163079,0.18995936,0.32003182,0.013878598,9.993734e-06,0.008250111,1.4427934e-05,9.332129e-06,0.030426838,0.025299273,8.604886e-06,1.5718588e-05
"The Smoky God; Or, A Voyage to the Inner World",8.411061e-06,0.0036663425,1.3407254e-05,1.5337728e-05,1.9075325e-05,1.0314021e-05,1.4523612e-05,0.459825,0.3292145,0.12361714,1.9265108e-05,9.819191e-06,8.3257155e-06,0.021061104,1.2019819e-05,7.774537e-06,0.04071435,0.0046113785,7.168675e-06,0.01714469
