title,rank,keyword,tfidf_score
Carmilla,1,vampire,0.096577
Carmilla,2,mademoiselle,0.085288
Carmilla,3,countess,0.071254
Carmilla,4,madame,0.067379
Carmilla,5,chateau,0.064532
Carmilla,6,stories,0.06312
Carmilla,7,papa,0.060728
Carmilla,8,young lady,0.056834
Carmilla,9,dear child,0.053214
Carmilla,10,baron,0.053214
Carmilla,11,chapel,0.0524
Carmilla,12,hunchback,0.050294
Carmilla,13,bertha,0.050294
Carmilla,14,say father,0.050237
Carmilla,15,mamma,0.049155
Carmilla,16,dressing room,0.049155
Carmilla,17,ladyship,0.04851
Carmilla,18,foot bed,0.04807
Carmilla,19,poor girl,0.045945
Carmilla,20,engaging,0.045093
The First Men in the Moon,1,selenite,0.083628
The First Men in the Moon,2,lunar,0.075688
The First Men in the Moon,3,bedford,0.07131
The First Men in the Moon,4,manhole,0.0636
The First Men in the Moon,5,bungalow,0.059487
The First Men in the Moon,6,oo,0.055796
The First Men in the Moon,7,crater,0.054794
The First Men in the Moon,8,fungus,0.051589
The First Men in the Moon,9,crowbar,0.051326
The First Men in the Moon,10,sphere,0.049392
The First Men in the Moon,11,carbonic,0.04689
The First Men in the Moon,12,carbonic acid,0.04689
The First Men in the Moon,13,tentacle,0.046888
The First Men in the Moon,14,helium,0.046505
The First Men in the Moon,15,oxygen,0.045713
The First Men in the Moon,16,cavern,0.043251
The First Men in the Moon,17,terrestrial,0.042783
The First Men in the Moon,18,gravitation,0.042538
The First Men in the Moon,19,goad,0.041096
The First Men in the Moon,20,grating,0.040847
The Cask of Amontillado,1,ugh,0.16817
The Cask of Amontillado,2,cask,0.164706
The Cask of Amontillado,3,allan,0.152037
The Cask of Amontillado,4,tier,0.148429
The Cask of Amontillado,5,mason,0.140785
The Cask of Amontillado,6,jingle,0.117915
The Cask of Amontillado,7,vault,0.116311
The Cask of Amontillado,8,recess,0.116311
The Cask of Amontillado,9,hearken,0.111621
The Cask of Amontillado,10,sherry,0.111621
The Cask of Amontillado,11,intoxication,0.107305
The Cask of Amontillado,12,granite,0.103421
The Cask of Amontillado,13,reply,0.090827
The Cask of Amontillado,14,wine,0.088243
The Cask of Amontillado,15,cough,0.087433
The Cask of Amontillado,16,bone,0.08554
The Cask of Amontillado,17,torch,0.082504
The Cask of Amontillado,18,wall,0.080928
The Cask of Amontillado,19,parti,0.075903
The Cask of Amontillado,20,damp,0.075412
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",1,goldsmith,0.061759
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",2,ode,0.060878
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",3,johnson,0.059193
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",4,shew,0.058192
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",5,bookseller,0.056303
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",6,boswell,0.055489
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",7,seward,0.052484
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",8,walpole,0.049512
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",9,reynolds,0.047587
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",10,armstrong,0.046303
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",11,milton,0.045573
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",12,epistle,0.044388
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",13,burke,0.044388
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",14,hawkins,0.043122
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",15,poem,0.041733
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",16,pope,0.040598
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",17,chichester,0.040431
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",18,mason,0.040213
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",19,poetical,0.039442
"Lives of the English Poets / From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives",20,earl,0.039419
Dead Souls,1,platon,0.065394
Dead Souls,2,dead soul,0.063197
Dead Souls,3,verst,0.060129
Dead Souls,4,ivan,0.054931
Dead Souls,5,landowner,0.052047
Dead Souls,6,constantine,0.049917
Dead Souls,7,petersburg,0.049431
Dead Souls,8,serfs,0.048006
Dead Souls,9,public prosecutor,0.047651
Dead Souls,10,gogol,0.047651
Dead Souls,11,souls,0.046699
Dead Souls,12,prosecutor,0.044152
Dead Souls,13,serf,0.043729
Dead Souls,14,chief police,0.043661
Dead Souls,15,governor general,0.043181
Dead Souls,16,gendarme,0.041931
Dead Souls,17,excellency,0.04184
Dead Souls,18,moscow,0.039523
Dead Souls,19,muzhik,0.039155
Dead Souls,20,bailiff,0.038357
Mrs. Warren's Profession,1,rev,0.120985
Mrs. Warren's Profession,2,warren,0.115906
Mrs. Warren's Profession,3,mrs,0.105613
Mrs. Warren's Profession,4,sir george,0.089181
Mrs. Warren's Profession,5,croft,0.087688
Mrs. Warren's Profession,6,shew,0.073419
Mrs. Warren's Profession,7,mr,0.070768
Mrs. Warren's Profession,8,goodbye,0.070351
Mrs. Warren's Profession,9,tolstoy,0.063431
Mrs. Warren's Profession,10,duenna,0.062435
Mrs. Warren's Profession,11,kitty,0.06206
Mrs. Warren's Profession,12,frank,0.060429
Mrs. Warren's Profession,13,shilling week,0.059621
Mrs. Warren's Profession,14,ve,0.058712
Mrs. Warren's Profession,15,censor,0.054948
Mrs. Warren's Profession,16,sam,0.053653
Mrs. Warren's Profession,17,iris,0.050173
Mrs. Warren's Profession,18,way life,0.04907
Mrs. Warren's Profession,19,ibsen,0.049035
Mrs. Warren's Profession,20,critic,0.048283
"The Country of the Blind, and Other Stories",1,holroyd,0.065908
"The Country of the Blind, and Other Stories",2,wedderburn,0.062692
"The Country of the Blind, and Other Stories",3,hapley,0.062178
"The Country of the Blind, and Other Stories",4,azuma zi,0.056719
"The Country of the Blind, and Other Stories",5,azuma,0.056719
"The Country of the Blind, and Other Stories",6,zi,0.056719
"The Country of the Blind, and Other Stories",7,nunez,0.056438
"The Country of the Blind, and Other Stories",8,pawkins,0.056151
"The Country of the Blind, and Other Stories",9,fanny,0.053125
"The Country of the Blind, and Other Stories",10,snooks,0.052821
"The Country of the Blind, and Other Stories",11,jennie,0.04469
"The Country of the Blind, and Other Stories",12,davidson,0.044568
"The Country of the Blind, and Other Stories",13,dynamo,0.043482
"The Country of the Blind, and Other Stories",14,woodhouse,0.043453
"The Country of the Blind, and Other Stories",15,bacteriologist,0.043453
"The Country of the Blind, and Other Stories",16,say evans,0.043351
"The Country of the Blind, and Other Stories",17,evans,0.042319
"The Country of the Blind, and Other Stories",18,hooker,0.041585
"The Country of the Blind, and Other Stories",19,say jane,0.040605
"The Country of the Blind, and Other Stories",20,dynamos,0.039963
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",1,natural selection,0.064494
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",2,variety specie,0.06427
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",3,hybrid,0.061468
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",4,specie genus,0.058733
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",5,oceanic,0.058213
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",6,silurian,0.058213
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",7,organic being,0.057943
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",8,large genera,0.057855
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",9,intermediate variety,0.057855
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",10,sterility,0.057791
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",11,group specie,0.0575
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",12,reproductive system,0.057108
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",13,gärtner,0.057108
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",14,oceanic island,0.056314
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",15,ally specie,0.05613
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",16,modify descendant,0.055897
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",17,glacial period,0.055836
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",18,specie group,0.055836
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",19,genera,0.0553
"On the Origin of Species By Means of Natural Selection / Or, the Preservation of Favoured Races in the Struggle for Life",20,distinct specie,0.055262
Cyrano de Bergerac,1,duenna,0.118699
Cyrano de Bergerac,2,lise,0.108361
Cyrano de Bergerac,3,cadet,0.099025
Cyrano de Bergerac,4,scene scene,0.090045
Cyrano de Bergerac,5,carbon,0.089063
Cyrano de Bergerac,6,viscount,0.082759
Cyrano de Bergerac,7,friar,0.08275
Cyrano de Bergerac,8,burgher,0.082381
Cyrano de Bergerac,9,martha,0.080594
Cyrano de Bergerac,10,ay,0.074537
Cyrano de Bergerac,11,claire,0.072075
Cyrano de Bergerac,12,lackey,0.072075
Cyrano de Bergerac,13,pastry,0.071908
Cyrano de Bergerac,14,marquis,0.068952
Cyrano de Bergerac,15,pickpocket,0.066803
Cyrano de Bergerac,16,tis,0.066102
Cyrano de Bergerac,17,le,0.063613
Cyrano de Bergerac,18,doublet,0.062128
Cyrano de Bergerac,19,christian,0.061358
Cyrano de Bergerac,20,porte de,0.060237
The Wheels of Chance: A Bicycling Idyll,1,phipps,0.101949
The Wheels of Chance: A Bicycling Idyll,2,jessie,0.096321
The Wheels of Chance: A Bicycling Idyll,3,man brown,0.096098
The Wheels of Chance: A Bicycling Idyll,4,widgery,0.095865
The Wheels of Chance: A Bicycling Idyll,5,chichester,0.076172
The Wheels of Chance: A Bicycling Idyll,6,milton,0.071504
The Wheels of Chance: A Bicycling Idyll,7,stepmother,0.064071
The Wheels of Chance: A Bicycling Idyll,8,cyclist,0.06297
The Wheels of Chance: A Bicycling Idyll,9,beaumont,0.061004
The Wheels of Chance: A Bicycling Idyll,10,bicycle,0.060781
The Wheels of Chance: A Bicycling Idyll,11,ostler,0.055135
The Wheels of Chance: A Bicycling Idyll,12,charlie,0.054809
The Wheels of Chance: A Bicycling Idyll,13,draper,0.054099
The Wheels of Chance: A Bicycling Idyll,14,gaiter,0.049678
The Wheels of Chance: A Bicycling Idyll,15,dangle,0.04808
The Wheels of Chance: A Bicycling Idyll,16,dismount,0.047072
The Wheels of Chance: A Bicycling Idyll,17,stephen,0.046682
The Wheels of Chance: A Bicycling Idyll,18,heath,0.045606
The Wheels of Chance: A Bicycling Idyll,19,bloomin,0.044699
The Wheels of Chance: A Bicycling Idyll,20,gelatine,0.043555
The Mysterious Island,1,harding,0.097723
The Mysterious Island,2,gideon,0.084753
The Mysterious Island,3,cyrus,0.082447
The Mysterious Island,4,chimneys,0.074053
The Mysterious Island,5,say herbert,0.066097
The Mysterious Island,6,reply sailor,0.064352
The Mysterious Island,7,corral,0.06424
The Mysterious Island,8,colonist,0.060894
The Mysterious Island,9,say engineer,0.060577
The Mysterious Island,10,herbert,0.055652
The Mysterious Island,11,settler,0.055504
The Mysterious Island,12,heights,0.054439
The Mysterious Island,13,islet,0.053949
The Mysterious Island,14,left bank,0.052625
The Mysterious Island,15,engineer,0.051972
The Mysterious Island,16,brig,0.051683
The Mysterious Island,17,granite,0.051353
The Mysterious Island,18,castaway,0.051239
The Mysterious Island,19,sulphate,0.050692
The Mysterious Island,20,reporter,0.049533
The Stolen Bacillus and Other Incidents,1,hapley,0.109053
The Stolen Bacillus and Other Incidents,2,azuma zi,0.09976
The Stolen Bacillus and Other Incidents,3,zi,0.09976
The Stolen Bacillus and Other Incidents,4,azuma,0.09976
The Stolen Bacillus and Other Incidents,5,pawkins,0.098245
The Stolen Bacillus and Other Incidents,6,holroyd,0.09717
The Stolen Bacillus and Other Incidents,7,bailey,0.096499
The Stolen Bacillus and Other Incidents,8,watkins,0.086889
The Stolen Bacillus and Other Incidents,9,davidson,0.07839
The Stolen Bacillus and Other Incidents,10,wedderburn,0.077694
The Stolen Bacillus and Other Incidents,11,hooker,0.076929
The Stolen Bacillus and Other Incidents,12,dynamo,0.076479
The Stolen Bacillus and Other Incidents,13,bacteriologist,0.076428
The Stolen Bacillus and Other Incidents,14,woodhouse,0.076428
The Stolen Bacillus and Other Incidents,15,say evans,0.076248
The Stolen Bacillus and Other Incidents,16,evans,0.074433
The Stolen Bacillus and Other Incidents,17,dynamos,0.071418
The Stolen Bacillus and Other Incidents,18,canoe,0.062309
The Stolen Bacillus and Other Incidents,19,orchid,0.058286
The Stolen Bacillus and Other Incidents,20,observatory,0.057685
The Square Root of 2,1,jerry,0.52316
The Square Root of 2,2,robert,0.299912
The Square Root of 2,3,center,0.289717
The Square Root of 2,4,site,0.270679
The Square Root of 2,5,ak,0.246009
The Square Root of 2,6,root,0.194054
The Square Root of 2,7,million,0.177231
The Square Root of 2,8,square,0.175305
The Square Root of 2,9,gregory,0.172045
The Square Root of 2,10,flight,0.162803
The Square Root of 2,11,space,0.160894
The Square Root of 2,12,executive,0.156697
The Square Root of 2,13,mason,0.137334
The Square Root of 2,14,north west,0.130793
The Square Root of 2,15,director,0.124967
The Square Root of 2,16,specific,0.118073
The Square Root of 2,17,guarantee,0.11648
The Square Root of 2,18,accuracy,0.10916
The Square Root of 2,19,thirty year,0.107809
The Square Root of 2,20,correspondence,0.102724
The Waste Land,1,cf,0.171906
The Waste Land,2,vos,0.116676
The Waste Land,3,und,0.10175
The Waste Land,4,chess,0.097507
The Waste Land,5,schon,0.095095
The Waste Land,6,jug,0.091035
The Waste Land,7,carthage,0.086176
The Waste Land,8,albert,0.084433
The Waste Land,9,thames,0.084433
The Waste Land,10,der,0.081824
The Waste Land,11,poem,0.081365
The Waste Land,12,currant,0.080072
The Waste Land,13,da,0.076861
The Waste Land,14,ist,0.07494
The Waste Land,15,insurance,0.073988
The Waste Land,16,burial,0.072658
The Waste Land,17,ta,0.070929
The Waste Land,18,divan,0.069169
The Waste Land,19,thrush,0.069169
The Waste Land,20,barge,0.069017
Twenty Years at Hull House; with Autobiographical Notes,1,writers,0.067876
Twenty Years at Hull House; with Autobiographical Notes,2,hull,0.059417
Twenty Years at Hull House; with Autobiographical Notes,3,halsted,0.057842
Twenty Years at Hull House; with Autobiographical Notes,4,federation,0.054134
Twenty Years at Hull House; with Autobiographical Notes,5,tolstoy,0.053149
Twenty Years at Hull House; with Autobiographical Notes,6,chicago,0.052944
Twenty Years at Hull House; with Autobiographical Notes,7,illinois,0.050926
Twenty Years at Hull House; with Autobiographical Notes,8,immigrant,0.049322
Twenty Years at Hull House; with Autobiographical Notes,9,legislation,0.047004
Twenty Years at Hull House; with Autobiographical Notes,10,resident,0.046633
Twenty Years at Hull House; with Autobiographical Notes,11,cooperation,0.046607
Twenty Years at Hull House; with Autobiographical Notes,12,workingman,0.046094
Twenty Years at Hull House; with Autobiographical Notes,13,autobiographical,0.046071
Twenty Years at Hull House; with Autobiographical Notes,14,cooperative,0.045968
Twenty Years at Hull House; with Autobiographical Notes,15,juvenile,0.045949
Twenty Years at Hull House; with Autobiographical Notes,16,starr,0.044858
Twenty Years at Hull House; with Autobiographical Notes,17,celebration,0.044523
Twenty Years at Hull House; with Autobiographical Notes,18,macmillan,0.043495
Twenty Years at Hull House; with Autobiographical Notes,19,alderman,0.042999
Twenty Years at Hull House; with Autobiographical Notes,20,settlement,0.042917
The Eighteenth Brumaire of Louis Bonaparte,1,national assembly,0.119368
The Eighteenth Brumaire of Louis Bonaparte,2,party order,0.116244
The Eighteenth Brumaire of Louis Bonaparte,3,bonaparte,0.105566
The Eighteenth Brumaire of Louis Bonaparte,4,bourgeoisie,0.096686
The Eighteenth Brumaire of Louis Bonaparte,5,royalist,0.092314
The Eighteenth Brumaire of Louis Bonaparte,6,parliamentary,0.088862
The Eighteenth Brumaire of Louis Bonaparte,7,bourgeois,0.083479
The Eighteenth Brumaire of Louis Bonaparte,8,republicans,0.082905
The Eighteenth Brumaire of Louis Bonaparte,9,executive power,0.081427
The Eighteenth Brumaire of Louis Bonaparte,10,proletariat,0.07566
The Eighteenth Brumaire of Louis Bonaparte,11,louis philippe,0.075129
The Eighteenth Brumaire of Louis Bonaparte,12,monarchy,0.074029
The Eighteenth Brumaire of Louis Bonaparte,13,allotment,0.073097
The Eighteenth Brumaire of Louis Bonaparte,14,legislative,0.068086
The Eighteenth Brumaire of Louis Bonaparte,15,assembly,0.067809
The Eighteenth Brumaire of Louis Bonaparte,16,executive,0.067623
The Eighteenth Brumaire of Louis Bonaparte,17,philippe,0.067354
The Eighteenth Brumaire of Louis Bonaparte,18,republican,0.067061
The Eighteenth Brumaire of Louis Bonaparte,19,ministers,0.06494
The Eighteenth Brumaire of Louis Bonaparte,20,ministry,0.06459
The Lost World,1,challenger,0.108255
The Lost World,2,malone,0.074171
The Lost World,3,gladys,0.071408
The Lost World,4,ape man,0.067367
The Lost World,5,plateau,0.057078
The Lost World,6,half breed,0.052806
The Lost World,7,para,0.052525
The Lost World,8,say professor,0.051413
The Lost World,9,say lord,0.048727
The Lost World,10,canoe,0.047591
The Lost World,11,maple,0.045672
The Lost World,12,brushwood,0.044389
The Lost World,13,esmeralda,0.04376
The Lost World,14,bamboo,0.043343
The Lost World,15,shot gun,0.042427
The Lost World,16,ape,0.042285
The Lost World,17,zoological,0.042244
The Lost World,18,chairman,0.042092
The Lost World,19,lecturer,0.041447
The Lost World,20,south america,0.040848
"The Jimmyjohn Boss, and Other Stories",1,cutler,0.094752
"The Jimmyjohn Boss, and Other Stories",2,yu,0.092148
"The Jimmyjohn Boss, and Other Stories",3,padre,0.086946
"The Jimmyjohn Boss, and Other Stories",4,toussaint,0.078672
"The Jimmyjohn Boss, and Other Stories",5,mclean,0.07627
"The Jimmyjohn Boss, and Other Stories",6,drake,0.076227
"The Jimmyjohn Boss, and Other Stories",7,hank,0.075592
"The Jimmyjohn Boss, and Other Stories",8,jake,0.071956
"The Jimmyjohn Boss, and Other Stories",9,virginian,0.068142
"The Jimmyjohn Boss, and Other Stories",10,vogel,0.06666
"The Jimmyjohn Boss, and Other Stories",11,casey,0.066418
"The Jimmyjohn Boss, and Other Stories",12,duane,0.066418
"The Jimmyjohn Boss, and Other Stories",13,haf,0.066418
"The Jimmyjohn Boss, and Other Stories",14,manna,0.066046
"The Jimmyjohn Boss, and Other Stories",15,gaston,0.065137
"The Jimmyjohn Boss, and Other Stories",16,malheur,0.063275
"The Jimmyjohn Boss, and Other Stories",17,augustus,0.063212
"The Jimmyjohn Boss, and Other Stories",18,ranch,0.06175
"The Jimmyjohn Boss, and Other Stories",19,mart,0.061457
"The Jimmyjohn Boss, and Other Stories",20,nancy,0.060532
The Jungle,1,duane,0.06203
The Jungle,2,stockyard,0.060892
The Jungle,3,jonas,0.06049
The Jungle,4,packer,0.059661
The Jungle,5,durham,0.056595
The Jungle,6,fertilizer,0.05609
The Jungle,7,freddie,0.055087
The Jungle,8,haf,0.048955
The Jungle,9,workingman,0.048835
The Jungle,10,lard,0.048224
The Jungle,11,hic,0.044021
The Jungle,12,republicans,0.042859
The Jungle,13,ole,0.042857
The Jungle,14,halsted,0.041427
The Jungle,15,jail,0.041277
The Jungle,16,chicago,0.041028
The Jungle,17,downtown,0.039959
The Jungle,18,harper,0.039272
The Jungle,19,socialist,0.03853
The Jungle,20,dollar,0.037656
The Natural History of Selborne,1,selborne,0.095821
The Natural History of Selborne,2,daines barrington,0.081742
The Natural History of Selborne,3,daines,0.081742
The Natural History of Selborne,4,esquire,0.079355
The Natural History of Selborne,5,house martin,0.078216
The Natural History of Selborne,6,barrington,0.077866
The Natural History of Selborne,7,pennant,0.06723
The Natural History of Selborne,8,congener,0.053771
The Natural History of Selborne,9,wren,0.052952
The Natural History of Selborne,10,martin,0.047275
The Natural History of Selborne,11,migration,0.047074
The Natural History of Selborne,12,hanger,0.046813
The Natural History of Selborne,13,cuckoo,0.046382
The Natural History of Selborne,14,sussex,0.045556
The Natural History of Selborne,15,snipe,0.045295
The Natural History of Selborne,16,quadruped,0.044832
The Natural History of Selborne,17,thrush,0.044411
The Natural History of Selborne,18,blackbird,0.043968
The Natural History of Selborne,19,migrate,0.043365
The Natural History of Selborne,20,chichester,0.043215
Heidi,1,fraulein,0.10827
Heidi,2,grandmamma,0.103882
Heidi,3,frankfurt,0.097114
Heidi,4,clara,0.088657
Heidi,5,sebastian,0.087191
Heidi,6,herr,0.078359
Heidi,7,alm,0.061425
Heidi,8,fir tree,0.061144
Heidi,9,peter,0.060876
Heidi,10,frau,0.060684
Heidi,11,grandmother,0.059865
Heidi,12,sleigh,0.057977
Heidi,13,say peter,0.056369
Heidi,14,grandfather,0.053618
Heidi,15,snowflake,0.052817
Heidi,16,pastor,0.052441
Heidi,17,goat,0.050547
Heidi,18,tutor,0.049288
Heidi,19,fir,0.048817
Heidi,20,peter look,0.04803
Pollyanna,1,aunt polly,0.132991
Pollyanna,2,pendleton,0.127062
Pollyanna,3,polly,0.117054
Pollyanna,4,ter,0.115016
Pollyanna,5,nancy,0.110155
Pollyanna,6,ladies aid,0.096047
Pollyanna,7,harrington,0.082717
Pollyanna,8,milly,0.082164
Pollyanna,9,timothy,0.074255
Pollyanna,10,jimmy,0.073063
Pollyanna,11,ladies,0.072131
Pollyanna,12,jennie,0.06455
Pollyanna,13,ye know,0.063046
Pollyanna,14,tell ye,0.06081
Pollyanna,15,warren,0.056102
Pollyanna,16,anythin,0.05416
Pollyanna,17,aunt,0.053784
Pollyanna,18,tellin,0.053637
Pollyanna,19,glad glad,0.053171
Pollyanna,20,think glad,0.052677
The silent places,1,bolton,0.101501
The silent places,2,dick,0.098384
The silent places,3,caribou,0.091982
The silent places,4,sam,0.090196
The silent places,5,herron,0.083429
The silent places,6,woodsman,0.080372
The silent places,7,galen,0.075708
The silent places,8,canoe,0.070515
The silent places,9,cree,0.069935
The silent places,10,moccasin,0.068438
The silent places,11,buckskin,0.068132
The silent places,12,sledge,0.061252
The silent places,13,moose,0.058584
The silent places,14,rawhide,0.054517
The silent places,15,chapter chapter,0.051699
The silent places,16,claire,0.050442
The silent places,17,squaw,0.048974
The silent places,18,billy,0.047734
The silent places,19,th,0.046623
The silent places,20,spruce,0.046131
The Moonstone,1,rachel,0.082311
The Moonstone,2,moonstone,0.078169
The Moonstone,3,godfrey,0.076579
The Moonstone,4,blake,0.074802
The Moonstone,5,penelope,0.068753
The Moonstone,6,spearman,0.065936
The Moonstone,7,franklin,0.065494
The Moonstone,8,say sergeant,0.06177
The Moonstone,9,ezra,0.061651
The Moonstone,10,jennings,0.058622
The Moonstone,11,sergeant,0.054975
The Moonstone,12,ladyship,0.052262
The Moonstone,13,clack,0.051024
The Moonstone,14,laudanum,0.046011
The Moonstone,15,nightgown,0.045233
The Moonstone,16,candy,0.043911
The Moonstone,17,robinson crusoe,0.043695
The Moonstone,18,quicksand,0.042589
The Moonstone,19,crusoe,0.042547
The Moonstone,20,cuff,0.042183
Daddy-Long-Legs,1,legs,0.126589
Daddy-Long-Legs,2,sallie,0.123905
Daddy-Long-Legs,3,daddy,0.11992
Daddy-Long-Legs,4,judy,0.115852
Daddy-Long-Legs,5,ps,0.106222
Daddy-Long-Legs,6,pendleton,0.106222
Daddy-Long-Legs,7,abbott,0.100861
Daddy-Long-Legs,8,julia,0.084774
Daddy-Long-Legs,9,campus,0.068263
Daddy-Long-Legs,10,trustee,0.067966
Daddy-Long-Legs,11,goodbye,0.064067
Daddy-Long-Legs,12,gymnasium,0.060638
Daddy-Long-Legs,13,willow,0.055114
Daddy-Long-Legs,14,ice cream,0.054383
Daddy-Long-Legs,15,scholarship,0.051164
Daddy-Long-Legs,16,asylum,0.051111
Daddy-Long-Legs,17,freddie,0.047858
Daddy-Long-Legs,18,smith,0.047313
Daddy-Long-Legs,19,orphan,0.047211
Daddy-Long-Legs,20,awfully,0.045724
Doña Perfecta,1,su,0.088551
Doña Perfecta,2,los,0.086621
Doña Perfecta,3,casa,0.08608
Doña Perfecta,4,una,0.085338
Doña Perfecta,5,para,0.084423
Doña Perfecta,6,el,0.083488
Doña Perfecta,7,como,0.08302
Doña Perfecta,8,sus,0.081793
Doña Perfecta,9,este,0.080533
Doña Perfecta,10,sobre,0.078478
Doña Perfecta,11,de las,0.078057
Doña Perfecta,12,rosario,0.076553
Doña Perfecta,13,las,0.076404
Doña Perfecta,14,ser,0.075841
Doña Perfecta,15,en la,0.075202
Doña Perfecta,16,mi,0.074335
Doña Perfecta,17,toda,0.074131
Doña Perfecta,18,gran,0.073552
Doña Perfecta,19,con la,0.071882
Doña Perfecta,20,poco,0.071627
The island of Doctor Moreau,1,montgomery,0.126692
The island of Doctor Moreau,2,moreau,0.119847
The island of Doctor Moreau,3,puma,0.086728
The island of Doctor Moreau,4,ape man,0.076267
The island of Doctor Moreau,5,leopard,0.063885
The island of Doctor Moreau,6,haired man,0.060735
The island of Doctor Moreau,7,swine,0.06043
The island of Doctor Moreau,8,enclosure,0.056216
The island of Doctor Moreau,9,schooner,0.055683
The island of Doctor Moreau,10,undergrowth,0.05307
The island of Doctor Moreau,11,ravine,0.050301
The island of Doctor Moreau,12,silly ass,0.049875
The island of Doctor Moreau,13,sloth,0.049023
The island of Doctor Moreau,14,ape,0.046714
The island of Doctor Moreau,15,black face,0.045924
The island of Doctor Moreau,16,dog man,0.045535
The island of Doctor Moreau,17,revolver,0.044731
The island of Doctor Moreau,18,headland,0.044238
The island of Doctor Moreau,19,dead say,0.044082
The island of Doctor Moreau,20,overboard,0.042775
Peter Pan,1,wendy,0.143854
Peter Pan,2,nana,0.107685
Peter Pan,3,smee,0.104521
Peter Pan,4,nibs,0.095675
Peter Pan,5,tink,0.094719
Peter Pan,6,starkey,0.091161
Peter Pan,7,tinker bell,0.091161
Peter Pan,8,john michael,0.090429
Peter Pan,9,redskin,0.090179
Peter Pan,10,tootles,0.089618
Peter Pan,11,peter pan,0.086323
Peter Pan,12,peter say,0.077377
Peter Pan,13,peter,0.074889
Peter Pan,14,peter wendy,0.074413
Peter Pan,15,cecco,0.072743
Peter Pan,16,say peter,0.072483
Peter Pan,17,pirate,0.072208
Peter Pan,18,mermaid,0.070695
Peter Pan,19,tiger lily,0.070573
Peter Pan,20,cry peter,0.067434
"The Awakening, and Selected Short Stories",1,pauline,0.084001
"The Awakening, and Selected Short Stories",2,folle,0.081519
"The Awakening, and Selected Short Stories",3,mademoiselle,0.07584
"The Awakening, and Selected Short Stories",4,désirée,0.07321
"The Awakening, and Selected Short Stories",5,armand,0.065055
"The Awakening, and Selected Short Stories",6,la petite,0.057812
"The Awakening, and Selected Short Stories",7,antoine,0.055537
